"sample","diagnosis","region"
"21-1A-AD","AD","A"
"20-1T-AD","AD","T"
"23-2A-AD","AD","A"
"22-2T-AD","AD","T"
"26-3A-AD","AD","A"
"24-3T-AD","AD","T"
"27-5A-AD","AD","A"
"25-5T-AD","AD","T"
"29-6T-AD","AD","T"
"31-7T-AD","AD","T"
"28-8T-AD","AD","T"
"30-9T-AD","AD","T"
"18-10A-Old","Old","A"
"11-10T-Old","Old","T"
"19-11A-Old","Old","A"
"13-11T-Old","Old","T"
"15-13T-Old","Old","T"
"16-14T-Old","Old","T"
"12-6A-Old","Old","A"
"14-7A-Old","Old","A"
"10-8A-Old","Old","A"
"17-9A-Old","Old","A"
"2-12A-Young","Young","A"
"4-13A-Young","Young","A"
"6-14A-Young","Young","A"
"8-15A-Young","Young","A"
"9-16A-Young","Young","A"
"3-17T-Young","Young","T"
"5-18T-Young","Young","T"
"7-19T-Young","Young","T"
