"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","26/1005","46/9376",0.565217391304348,5.27311269738265,10.0661277778032,3.04445415079271e-14,1.05947004447586e-11,9.06926868078251e-12,"5692/5691/5719/5693/5704/5701/5690/5702/5710/51371/5686/5713/5705/5694/5689/11047/10213/5695/5683/5707/5687/5684/5706/5714/5685/5721",26
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","75/1005","308/9376",0.243506493506494,2.27175809265361,7.86328669885431,3.27850429929093e-12,5.70459748076623e-10,4.88324587736492e-10,"5430/1387/8701/8678/4723/5692/5691/81027/5719/5693/5704/5701/1639/5690/4712/10540/5702/7846/5710/5686/7384/5432/5436/5713/5705/4722/10382/7417/4718/5694/6390/1211/292/5689/4719/11047/10213/1329/4711/10120/5695/4695/4720/6389/5683/55860/113457/7386/5707/1213/10105/9776/374291/5687/5431/4704/7802/5684/4217/79861/5706/7419/1173/27019/5714/7350/4729/5331/5685/196385/4706/1339/55567/51164/1345",75
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","87/1005","388/9376",0.224226804123711,2.0918910601631,7.61103360112013,7.40063960203403e-12,8.58474193835947e-10,7.3487052890373e-10,"8678/4723/5692/55851/322/5691/81027/5719/5693/7922/5704/5701/5690/4712/5702/7846/5710/5686/7384/8517/5713/5705/4722/10382/7417/4718/5694/6390/292/5689/4719/11047/10213/351/1329/4711/5695/4695/91860/2597/805/4720/6389/3709/5683/55334/3552/8325/113457/7386/5707/23621/10105/3028/9776/374291/1965/51107/5687/8321/7476/4704/57142/840/4891/5684/4217/79861/5706/4893/7419/5714/8324/4729/5331/5685/7478/3667/4706/10313/1339/23385/7855/8326/1345/8322/5663",87
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","66/1005","268/9376",0.246268656716418,2.29752728892849,7.46710717247055,4.0783808538779e-11,3.54819134287377e-09,3.03732047801959e-09,"4723/7295/5692/5691/81027/5719/5693/7922/5704/5701/135/5690/4712/5702/7846/5710/5686/7384/5713/5705/4722/10382/7417/4718/5694/6390/292/5689/4719/11047/10213/1329/4711/5695/4695/2770/91860/805/4720/6389/3709/5683/55334/113457/7386/5707/10105/374291/1965/5687/2861/4704/4891/5684/7054/4217/79861/5706/7419/5714/4729/5685/5567/4706/1339/1345",66
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","77/1005","368/9376",0.209239130434783,1.95206575816569,6.45589806308363,3.76617657651071e-09,2.62125889725145e-07,2.24384836032112e-07,"7415/8701/8678/60/4723/5692/71/5691/81027/5719/10189/5693/10452/5704/5701/84557/1639/5690/4712/10540/5702/7846/5710/5686/7384/5713/5705/4722/10382/4718/5694/6390/310/5689/4719/11047/10213/1329/4711/10120/5695/4695/79023/25978/4720/6389/5683/81929/55860/55746/113457/7386/5707/9776/374291/1965/5687/5868/91181/5216/4704/7802/5684/4217/79861/5706/27019/5714/9542/4729/5685/196385/4706/1339/55567/51164/1345",77
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","61/1005","275/9376",0.221818181818182,2.06942017186793,6.23663258591768,1.76475987517447e-08,1.02356072760119e-06,8.76187797674342e-07,"4723/5692/5691/81027/5719/5693/5704/5701/5690/4712/5702/7846/5710/5686/7384/5713/5705/4722/10382/7417/4718/5694/6390/292/5689/4719/11047/10213/1329/4711/5695/4695/4720/6389/3709/5683/3552/113457/7386/6352/5707/10105/374291/1965/5687/4704/5684/79861/5706/7419/859/5714/4729/5685/6261/5567/4706/1339/4684/1345/4685",61
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","91/1005","480/9376",0.189583333333333,1.76868988391376,5.99038031242955,2.43326903213506e-08,1.17935340129666e-06,1.00954934230779e-06,"7415/8701/8678/4723/5692/5691/81027/5719/5693/10452/5704/5701/84557/1639/5690/4712/10540/5702/7846/5710/5686/7384/5713/5705/4722/10382/7417/4718/5694/6390/292/5689/4719/11047/10213/351/1329/4711/10120/5695/4695/25978/91860/805/4720/6389/3709/5683/55860/3552/8325/113457/7386/5707/10105/3028/9776/374291/1965/5687/5868/8321/2861/7476/4704/840/7802/5684/4217/79861/5706/4893/7419/27019/5714/8324/4729/5331/5685/6261/7478/196385/4706/1339/55567/7855/51164/8326/1345/8322/5663",91
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","39/1005","144/9376",0.270833333333333,2.52669983416252,6.39686233764388,2.71115724436014e-08,1.17935340129666e-06,1.00954934230779e-06,"8678/5692/5691/5719/10939/5693/5704/5701/5690/25814/5702/5710/5686/5713/5705/7417/5694/292/5689/11047/10213/5695/7436/3709/5683/6095/5707/10105/9776/5687/4976/5684/4217/5706/7419/5714/5331/5685/6261",39
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","18/1005","54/9376",0.333333333333333,3.10978441127695,5.38716661694223,6.78216568632473e-06,0.000262243739871223,0.000224485718038585,"2937/191/113675/58478/1789/23743/2806/27232/4190/56267/4191/3939/2729/160287/7263/6898/144811/586",18
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","28/1005","116/9376",0.241379310344828,2.25191284954538,4.70086302093276,2.64311776631648e-05,0.000919804982678135,0.000787370871439541,"26007/1373/5211/1892/5096/2271/6888/39/6390/113675/5162/3418/2597/5224/6389/5631/8802/8803/35/2098/2806/4190/84693/5230/5223/4191/1738/7167",28
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","12/1005","30/9376",0.4,3.73174129353234,5.19238999853565,2.96616990678721e-05,0.000938388297783589,0.000803278548919406,"47/2271/6390/5162/3418/6389/8802/8803/4190/4191/1738/5105",12
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","13/1005","36/9376",0.361111111111111,3.36893311221669,4.93413023966501,4.97934012742134e-05,0.00144400863695219,0.00123609934742126,"2237/4175/4171/5426/6119/6118/4172/4173/1763/246243/5427/5111/5983",13
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","12/1005","32/9376",0.375,3.49850746268657,4.90534122745198,6.31754131748266e-05,0.00169115721421843,0.00144766331404663,"1892/5096/79611/593/55862/8802/8803/35/84693/1738/3939/160287",12
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","17/1005","63/9376",0.26984126984127,2.51744452341467,4.18714782730522,0.000241188191394783,0.00599524932895603,0.00513204948606944,"6608/2735/2736/8325/51176/83439/8321/7476/8324/374654/7478/64399/7855/8326/8643/8322/1647",17
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","32/1005","158/9376",0.20253164556962,1.88948926254802,3.90688744428261,0.000271649323158369,0.00630226429727415,0.00539486024237321,"1387/7029/4175/4171/7042/8556/119504/10971/4172/4173/25847/9587/7531/9978/23595/157570/890/5111/6500/5515/9184/699/5347/983/5518/51433/1028/7465/1647/5933/4085/85417",32
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","14/1005","48/9376",0.291666666666667,2.72106135986733,4.1419294984903,0.000351950914308705,0.00765493238621433,0.00655277031245812,"1892/5096/30/3155/39/219/36/593/3028/3157/35/84693/1738/586",14
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","44/1005","250/9376",0.176,1.64196616915423,3.56469118439562,0.000598892709985286,0.0122596860632282,0.0104945286022189,"1515/54106/5660/53/6609/65082/5641/79641/529/1211/950/2647/127829/10325/138050/121260/8906/175/1213/55353/3373/1514/1512/23062/9114/118426/10670/533/4891/3916/1486/256471/1173/2517/537/155066/2519/114876/119032/1657/4864/6272/55737/3177",44
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","13/1005","47/9376",0.276595744680851,2.58045940510215,3.76352431122131,0.00098921906067454,0.0188455054364509,0.0161321174788736,"2271/39/219/5162/10327/9380/2739/4190/4191/1738/3939/5105/160287",13
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","32/1005","170/9376",0.188235294117647,1.75611354989757,3.44711676335866,0.00102998769696199,0.0188455054364509,0.0161321174788736,"60/71/5571/51208/7846/9080/9181/5521/998/56288/84952/10092/113457/7430/154796/58494/5111/5515/4217/79861/24146/103910/9071/10097/83700/5567/5518/5562/5520/79778/9069/4734",32
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","30/1005","157/9376",0.191082802547771,1.78267896187851,3.42666443525963,0.00113722877633755,0.0188455054364509,0.0161321174788736,"60/71/657/7042/10413/5521/56288/10971/2736/8325/8463/7531/154796/51176/83439/8321/7476/1495/5515/25937/8324/7478/5518/122786/7855/84962/8326/5520/8322/268",30
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","30/1005","157/9376",0.191082802547771,1.78267896187851,3.42666443525963,0.00113722877633755,0.0188455054364509,0.0161321174788736,"4723/5571/4712/7384/4722/4718/6390/4719/1329/4711/998/4695/6256/4720/6389/3552/7386/374291/1965/4704/840/4217/3952/4729/5465/3667/5562/4706/1339/1345",30
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","11/1005","41/9376",0.268292682926829,2.50299720907657,3.34174217262132,0.00310448185771798,0.0491072584766299,0.0420367639107267,"113675/5224/669/1610/9380/55349/27232/2593/5223/1738/314",11
